식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
밴건디스테이크하우스,스테이크/립,4.7,서울 서초구 사평대로22길 5 1층,,02-595-6062,339,38건
배나무골 양재 본점,오리,3.6,서울 서초구 마방로2길 12 보성빌딩 지하 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 14:30 ~ 17:00,02-571-5252,24,23건
어다리횟집 교대점,회,4.0,서울 서초구 서초대로 280 태양빌딩 지하1층,매일 11:30 ~ 24:00 · 브레이크타임 매일 15:00 ~ 17:00,02-521-3339,16,11건
주,중식,3.6,서울 서초구 동광로19길 16,화~금 11:30 ~ 22:00 · 브레이크타임 화~금 15:00 ~ 17:00,,89,89건
모던눌랑 센트럴시티점,중식,3.1,서울 서초구 사평대로 205,매일 11:30 ~ 22:00,02-6282-5005,161,21건
진대감 신사점,육류/고기,4.1,서울 서초구 나루터로12길 18,월~금 11:30 ~ 23:00 · 브레이크타임 매일 14:30 ~ 17:00,02-543-8858,87,21건
만원수산,회,3.6,서울 서초구 서초대로77길 37 서초동월드1308 상가 3층 302호,,,129,12건
교대갈비집,갈비,4.2,서울 서초구 반포대로28길 91 대진빌딩 2층,매일 11:00 ~ 24:00,02-587-6692,95,84건
메종엠오 플래그십 스토어,제과/베이커리,4.3,서울 서초구 방배로26길 22 1층,,070-4239-3335,52,63건
로리스더프라임립,스테이크/립,3.7,서울 서초구 서초대로 411 GT타워 3층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-590-2800,167,31건
프리퍼커피로스터스,커피전문점,4.3,서울 서초구 반포대로5길 4 1층,월~금 08:00 ~ 21:00,02-2690-0962,133,45건
제이에스가든 갓포로바 잠원점,퓨전요리,4.4,서울 서초구 잠원로4길 33-2 스타빌딩 지하1층 101~110호,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:30,02-595-1221,89,14건
고메램 강남점,육류/고기,4.0,서울 서초구 강남대로 359 대우도씨에빛2차 지하1층,,02-588-7805,359,17건
도우룸,이탈리안,3.8,서울 서초구 동광로 99 2층,화/수요일,02-535-9386,111,37건
노랑저고리 강남점,한정식,3.4,서울 서초구 서초대로73길 9 타임빌딩 5층,매일 11:30 ~ 21:30,02-534-5300,75,18건
강촌원조쭈꾸미 본점,해물/생선,4.0,서울 서초구 남부순환로350길 36 1층,매일 10:00 ~ 22:00,02-575-4458,42,25건
봉피양 양재점,냉면,2.4,서울 서초구 강남대로 283 남성빌딩 1층,매일 11:00 ~ 22:00,02-522-9291,25,17건
서래향,중화요리,2.8,서울 서초구 사평대로26길 48 미성빌딩 2층,매일 11:30 ~ 21:30,02-537-8521,129,13건
할랄가이즈 강남역점,양식,3.3,서울 서초구 강남대로69길 8,매일 11:00 ~ 22:00,02-595-1800,161,52건
오프레,양식,3.8,서울 서초구 반포대로4길 12 석탑빌딩 1층,화~일 12:00 ~ 22:30 · 브레이크타임 화~일 15:00 ~ 18:00,070-5025-3837,140,27건
차이797 서래마을점,중식,2.9,서울 서초구 동광로 78 방배빌딩 2/3층,,02-537-7972,56,18건
코다차야 사당점,실내포장마차,3.3,서울 서초구 방배천로2길 7 지하1층,영업시간 매일 17:00 ~ 03:00,02-837-3000,34,31건
하오차이,중화요리,3.5,서울 서초구 효령로 260 정풍빌딩 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-523-2700,43,20건
대나무골,한정식,2.5,서울 서초구 법원로3길 15 영포빌딩 지하,매일 11:30 ~ 22:00,02-533-8410,31,21건
통영해물보쌈,해물/생선,3.8,서울 서초구 방배천로4길 26,매일 11:00 ~ 24:00,02-585-4378,89,17건
채미가,한정식,3.4,서울 서초구 법원로2길 15,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,02-591-7892,43,11건
이남장 서초점,설렁탕,2.5,서울 서초구 서초대로49길 4,매일 00:00 ~ 24:00,02-592-0268,50,38건
쉐라미,양식,3.7,서울 서초구 마방로 44-1,매일 12:00 ~ 03:00 · 브레이크타임 매일 15:00 ~ 17:00,010-4597-1006,159,39건
미나미,일식,2.7,서울 서초구 서초대로58길 31-2 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 14:30 ~ 17:30,02-522-0373,86,70건
서초면옥 본점,냉면,2.6,서울 서초구 동광로 97 1층,매일 11:00 ~ 22:00,02-536-1423,45,24건
덕자네방앗간 강남본점,분식,2.6,서울 서초구 사평대로56길 7 유앤아이빌딩 1층,매일 11:00 ~ 21:30,02-575-8959,122,70건
장꼬방,디저트카페,3.9,서울 서초구 강남대로61길 27,매일 09:00 ~ 22:00,02-597-5511,65,36건
카페로비,디저트카페,4.0,서울 서초구 반포대로20길 53 1층,월~금 08:30 ~ 20:00,070-4300-4180,143,25건
해담채 남부터미널점,해물/생선,3.0,서울 서초구 서초중앙로5길 10-8 쁘띠오피스텔 지하1층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-585-4997,51,8건
레몬그라스타이,태국음식,4.3,서울 서초구 효령로68길 67,매일 11:00 ~ 23:00,02-522-3029,138,26건
강고집 사당본점,육류/고기,4.7,서울 서초구 방배천로4안길 6 1층,영업시간 월~금 17:00 ~ 23:00,02-6489-9589,127,23건
쿠오레에스프레소,커피전문점,3.6,서울 서초구 강남대로 275 1층 101호,월~금 08:00 ~ 22:00,070-7750-9230,318,46건
헬무트커피로스터스,카페,3.3,서울 서초구 방배천로6길 3-10,월~금 11:30 ~ 22:00,070-7776-3748,62,24건
서리풀식당,족발/보쌈,4.2,서울 서초구 서초대로50길 39 1층,매일 11:00 ~ 23:30,02-582-6692,101,57건
볼라레,이탈리안,3.7,서울 서초구 사평대로20길 8,매일 11:30 ~ 23:00,02-537-1100,80,36건
소들녘 서초점,갈비,3.9,서울 서초구 효령로 232,매일 11:00 ~ 22:00,02-583-0505,91,15건
소백산 양재별관,육류/고기,3.7,서울 서초구 강남대로8길 36,매일 11:00 ~ 22:00,02-572-7111,23,25건
스시타노,초밥/롤,3.7,서울 서초구 서래로5길 30 2층,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,02-593-1600,70,26건
오우아,카페,3.2,서울 서초구 도구로1길 73-1 1층,매일 11:00 ~ 22:00,02-6498-4998,209,42건
황재벌,장어,3.1,서울 서초구 남부순환로347길 42-4,월~금 04:30 ~ 02:00,02-3471-5454,117,48건
몬틸나잇,커피전문점,4.0,서울 서초구 서초중앙로18길 23 효암빌딩 1층,월~금 09:00 ~ 20:30,02-588-6518,166,40건
영동족발 3호점,족발/보쌈,3.4,서울 서초구 남부순환로 2628-18,월~금 11:30 ~ 24:00,02-575-0250,64,69건
아빠곰수제돈까스,돈까스/우동,3.5,서울 서초구 사평대로56길 7 서초한일유앤아이 상가1층 111~113호,월~토 11:30 ~ 19:30,02-595-9433,226,83건
한양왕족발,족발/보쌈,3.9,서울 서초구 방배천로2안길 15,영업시간 월~금 15:00 ~ 24:00,02-523-3006,37,17건
스시도우,초밥/롤,4.3,서울 서초구 서초대로42길 66,,02-588-8011,71,30건
퀸즈파크 서래점,양식,3.5,서울 서초구 동광로 95-1,월~금 10:00 ~ 22:00,02-532-4054,41,13건
식감이야기 양재역점,일본식주점,3.9,서울 서초구 남부순환로350길 19-26 도담빌딩 2층,영업시간 매일 17:30 ~ 02:00,02-529-6147,96,12건
메르시,양식,4.0,서울 서초구 논현로 23 1층,월~금 11:30 ~ 23:00 · 브레이크타임 월~금 14:30 ~ 17:30,02-572-0601,20,27건
테이블포포,양식,3.4,서울 서초구 사평대로14길 11 2층,매일 12:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 18:00,02-3478-0717,94,28건
악바리,호프/요리주점,3.1,서울 서초구 서초대로77길 41,매일 00:00 ~ 24:00,02-3482-3080,41,22건
쿤쏨차이,태국음식,3.8,서울 서초구 서초대로53길 23 1층,화~일 11:30 ~ 22:00 · 브레이크타임 화~일 15:00 ~ 17:00,02-596-6411,113,44건
채빛퀴진,뷔페,4.1,서울 서초구 올림픽대로 2085-14,매일 11:30 ~ 22:00 · 브레이크타임1 월~금 15:00 ~ 18:00,02-3477-3100,74,28건
닥터로빈 반포점,양식,3.7,서울 서초구 고무래로 8,매일 11:00 ~ 21:30,02-537-3621,45,12건
로우슬로우,카페,3.7,서울 서초구 방배천로2안길 27 현성빌딩 2층,화~금 11:00 ~ 23:00,02-522-5740,116,31건
올반프리미엄 센트럴시티점,한식뷔페,3.4,서울 서초구 사평대로 205 파미에스테이션 1층,매일 10:30 ~ 22:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-591-2213,77,37건
송쉐프 르쁘띠,중화요리,4.4,서울 서초구 반포대로24길 95 1층,매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-3471-5688,22,18건
정석초밥,초밥/롤,3.6,서울 서초구 강남대로12길 41,월~토 11:00 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 16:00,02-571-5751,111,16건
진대감 강남역 교보타워점,육류/고기,3.6,서울 서초구 서초대로73길 54 디오빌강남오피스텔 101호,매일 12:00 ~ 22:00,02-596-0715,77,18건
댓짱돈까스 방배본점,돈까스/우동,3.7,서울 서초구 방배로6길 13 파크에비뉴빌딩 1층,월~토 11:00 ~ 20:30 · 브레이크타임 월~토 15:30 ~ 17:00,02-584-7348,60,53건
미국식,햄버거,4.3,서울 서초구 동광로24길 50 지니빌 1층,화~토 11:30 ~ 21:00 · 브레이크타임 화~토 15:00 ~ 17:00,,89,25건
교대이층집 양재점,육류/고기,2.5,서울 서초구 강남대로 222-6 2층,매일 11:30 ~ 23:30,02-529-8188,43,11건
버터핑거팬케익스 강남점,양식,2.7,서울 서초구 강남대로61길 13 1층,화~일 07:00 ~ 01:00,02-532-5740,170,68건
온유월식당,육류/고기,4.0,서울 서초구 신반포로 177 반포쇼핑3동 지하 1층,영업시간 매일 15:00 ~ 24:00,02-534-3608,177,65건
훈감동,일식,4.2,서울 서초구 동광로7길 33 선명빌딩 1층 101호,월~금 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:30,010-9118-0516,117,80건
베트남이랑,베트남음식,3.6,서울 서초구 서초대로77길 15 대경빌딩 지하1층,월/화/일 10:00 ~ 23:30,,352,40건
라비드쿤,양식,3.2,서울 서초구 마방로2길 15-5,월~토 11:30 ~ 21:00,010-9097-0709,101,42건
강남교자 강남본점,국수,3.4,서울 서초구 강남대로69길 11 2층,매일 10:30 ~ 22:00,02-536-4133,46,42건
샤브리샤브샤브 방배본점,샤브샤브,3.7,서울 서초구 방배천로2길 21 성현빌딩 3층,매일 11:00 ~ 22:00,02-597-0789,47,12건
유타로 강남점,일본식라면,4.0,서울 서초구 서초대로74길 51 골드로즈 101호,월~금 11:30 ~ 22:30 · 브레이크타임 월~금 14:30 ~ 17:00,02-582-5999,96,62건
수향가 사당직영점,한식,3.5,서울 서초구 남부순환로 2121-3,영업시간 월~금 15:00 ~ 01:00,02-523-8799,550,17건
샘밭막국수 서초점,국수,3.2,서울 서초구 서초중앙로24길 27 지파이브센트럴플라자 지하1층,매일 11:30 ~ 21:30,02-585-1702,28,53건
스시만,일식,4.0,서울 서초구 동광로27길 3 폴라리스빌딩 1층,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 18:00,02-533-0181,56,26건
한국순대 본점,순대,2.9,서울 서초구 바우뫼로35길 4 원빌딩 1층,매일 00:00 ~ 24:00,02-573-3550,56,53건
묘오또,돈까스/우동,3.9,서울 서초구 방배로28길 16,화~일 11:30 ~ 20:40 · 브레이크타임 화~일 14:40 ~ 17:30,,117,57건
라멘모토 본점,일본식라면,3.7,서울 서초구 신반포로 333,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,070-4400-2370,152,80건
수타우동겐,돈까스/우동,3.3,서울 서초구 서초대로 327 1층,매일 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-599-5545,100,51건
산들해 양재동점,한정식,3.3,서울 서초구 강남대로 213 엘타워 지하1층,매일 11:10 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-579-3457,17,26건
세컨브레스,카페,3.8,서울 서초구 양재천로 95-2 태영빌딩 1층,매일 10:00 ~ 22:00,02-575-9840,48,38건
한우라서더맛있는스테이크,스테이크/립,4.2,서울 서초구 양재천로23길 10,매일 11:30 ~ 22:30,02-577-5068,35,16건
멘야하나비 신사점,일식,3.7,서울 서초구 강남대로101안길 18-1,매일 11:30 ~ 20:30 · 브레이크타임 월~금 14:00 ~ 17:30,070-8847-7788,172,45건
요요마의키친,이탈리안,4.0,서울 서초구 반포대로 20 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-525-9421,45,22건
스와니예,양식,4.2,서울 서초구 반포대로39길 46 지하1층,매일 12:00 ~ 22:30 · 브레이크타임 매일 15:00 ~ 18:00,02-3477-9386,64,32건
브루스리 양재점,중화요리,2.2,서울 서초구 양재천로 147-1,매일 10:00 ~ 22:00,02-576-8845,28,71건
진대감 서초점,육류/고기,4.9,서울 서초구 효령로55길 39 센트로호텔 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-523-2472,51,9건
금수복국 서초점,복어,3.2,서울 서초구 서초중앙로24길 22,매일 00:00 ~ 24:00,02-532-5482,28,17건
일품헌,샤브샤브,3.3,서울 서초구 남부순환로 2634-27,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-574-7117,18,24건
일번지육개장,찌개/전골,3.9,서울 서초구 신반포로 195,,02-537-1911,212,32건
진동둔횟집,회,3.6,서울 서초구 강남대로91길 18,월~금 12:00 ~ 22:30,02-511-2179,20,34건
길버트버거앤프라이즈 서초점,햄버거,3.5,서울 서초구 서초대로42길 96 금강빌딩 1층,매일 11:30 ~ 21:30 · 브레이크타임 월~금 15:00 ~ 16:30,02-586-9200,75,41건
매뉴팩트커피 방배점,카페,4.1,서울 서초구 서초대로27길 15 1층,월~토 09:00 ~ 18:00,02-535-0804,50,31건
구뜰집,육류/고기,3.7,서울 서초구 도구로 125,,02-593-8592,64,15건
남미플랜트랩,양식,4.2,서울 서초구 방배천로4안길 55 2층,매일 12:00 ~ 21:00 · 브레이크타임 월~금 16:00 ~ 17:30,02-522-1276,172,63건
테라로사 예술의전당점,커피전문점,3.7,서울 서초구 남부순환로 2406 비타민 스테이션 1층,매일 08:30 ~ 21:00,,78,40건
굴뚝집 사당본점,육류/고기,3.2,서울 서초구 방배천로2안길 7 우정빌딩 1층,월~금 11:00 ~ 02:00,02-521-4069,90,13건
딥다이브,카페,4.1,서울 서초구 방배천로18길 36-5,월~금 08:00 ~ 22:00,070-7514-2104,116,7건
앙떼띠 서래마을점,카페,4.1,서울 서초구 서래로6길 24 1/2층,매일 10:00 ~ 22:30,02-6406-7410,58,30건
칼맞은삼겹살 강남본점,삼겹살,3.1,서울 서초구 서초대로75길 34,매일 11:00 ~ 02:00,02-533-7732,64,20건
잠원떡볶이,떡볶이,3.9,서울 서초구 잠원로4길 45,매일 11:00 ~ 22:00,02-591-4108,51,44건
더플라잉팬 레드,양식,3.2,서울 서초구 서초대로 411 지티타워 지하 1층,월~토 10:30 ~ 22:00,02-590-2488,126,33건
심재,카페,4.3,서울 서초구 동산로2길 40 리라빌딩 1층 101호,매일 11:00 ~ 22:00,070-8826-9000,90,22건
삿뽀로 서초점,일식집,2.5,서울 서초구 서초중앙로 195 경복궁빌딩 5층,매일 11:30 ~ 22:00,02-3477-5544,17,13건
차알 반포점,중화요리,3.6,서울 서초구 사평대로 205 파미에스테이션 2층,매일 11:00 ~ 21:30,02-6282-3218,196,56건
진대감 강남역 삼성타운점,육류/고기,4.1,서울 서초구 서초대로78길 50 우영빌딩 2층,매일 10:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-587-0073,58,15건
우참판 서래본점,육류/고기,4.2,서울 서초구 서래로 23 몽마르뜨빌딩 3층,매일 11:30 ~ 22:00 · 브레이크타임 월~금 14:30 ~ 17:00,02-537-5940,20,15건
도셰프,이탈리안,3.3,서울 서초구 강남대로89길 14,매일 11:30 ~ 22:00,02-541-1117,147,39건
팔팔민물장어,장어,2.6,서울 서초구 사평대로 335,매일 10:00 ~ 22:00,02-549-1112,61,9건
거북곱창,곱창/막창,1.8,서울 서초구 서초대로50길 94 1층,매일 13:00 ~ 01:00,02-586-0032,25,32건
인덕원비빔국수,국수,3.2,서울 서초구 남부순환로 2656,매일 11:00 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00,,110,30건
도너츠윤 방배점,디저트카페,2.1,서울 서초구 동광로12가길 12 1층,매일 11:00 ~ 18:00,070-8993-6194,133,13건
그림나베 남부터미널점,일식,4.4,서울 서초구 서초중앙로 42 블루핀 타워 112/113호,월~금 11:00 ~ 23:00 · 브레이크타임 매일 15:00 ~ 17:00,02-522-5188,31,66건
초선과여포 본점,중화요리,4.1,서울 서초구 서초대로78길 44 2층,,02-525-9890,115,15건
삼성각,중화요리,2.4,서울 서초구 서초대로78길 42 2층,매일 11:30 ~ 21:00,02-598-7779,125,18건
조개창고 방배점,조개,3.4,서울 서초구 방배로 147 내방빌딩 3층,영업시간 월~금 14:00 ~ 24:00,010-9285-4923,178,15건
커피앳웍스 양재역점,커피전문점,3.8,서울 서초구 강남대로 241 1/2층,월~금 07:00 ~ 22:00,02-521-3178,44,10건
서초면옥 서초본점,냉면,3.6,서울 서초구 반포대로28길 46 우진빌딩 1층,매일 11:00 ~ 22:00,02-522-1422,50,27건
스시고,초밥/롤,4.2,서울 서초구 사평대로22길 15 1층,매일 12:00 ~ 22:00 · 브레이크타임1 매일 13:20 ~ 13:30 · 브레이크타임2 매일 15:00 ~ 18:00,02-595-4700,47,35건
리숨두부,두부전문점,3.2,서울 서초구 원터4길 7,월~금 10:00 ~ 21:00,02-579-1701,172,36건
진대감 교대점,육류/고기,3.1,서울 서초구 서초대로50길 62-9 1층,매일 11:00 ~ 23:00,,69,13건
