식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
두부촌,두부전문점,3.3,서울 성북구 안암로 43,매일 11:00 ~ 22:00,02-922-1783,20,9건
옛날중국집,중화요리,2.9,서울 성북구 성북로8길 8,화~일 11:00 ~ 21:00,02-764-0094,44,44건
바람난오리궁뎅이,오리,4.6,서울 성북구 보국문로29길 15,월/화/목/금/토/일 11:00 ~ 21:30,02-918-5999,32,24건
자연에서왔소 본점,육류/고기,4.1,서울 성북구 성북로 36 1층,매일 11:00 ~ 22:00,02-742-3588,251,30건
보배반점 성신여대직영점,중화요리,3.5,서울 성북구 보문로34길 39 백옥빌딩 1층,매일 11:00 ~ 22:00,02-923-3439,139,27건
모블러,카페,4.5,서울 성북구 동소문로26다길 26,매일 11:00 ~ 21:00,,56,33건
정이정,카페,3.9,서울 성북구 종암로 82-15,매일 12:00 ~ 22:00,,64,25건
성북동돼지갈비 본점,갈비,2.7,서울 성북구 성북로 115,매일 08:30 ~ 21:00,02-764-2420,38,31건
성북동 이안,양식,3.9,서울 성북구 성북로5길 29-19 1층,영업시간 월~목 17:00 ~ 22:30,02-744-2919,63,16건
김통,육류/고기,3.8,서울 성북구 동소문로 124 1층,영업시간 화 16:00 ~ 23:00,02-921-4007,108,21건
오샬,인도음식,4.4,서울 성북구 고려대로24길 6 3층,매일 11:00 ~ 21:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-6084-6527,86,20건
카레,인도음식,4.4,서울 성북구 성북로 62-1 1층,11/9(화)/ 11/10(수),,101,56건
세꼬시 쌍둥이수산 본점,회,4.7,서울 성북구 보문로 195,매일 11:00 ~ 01:00,02-926-5989,10,11건
로스디아스,카페,4.6,서울 성북구 동소문로22길 67 2층,월/화/목/금/토/일 12:00 ~ 21:00,,53,31건
일번지정육식당 돌곶이직영점,육류/고기,3.6,서울 성북구 화랑로 254,매일 11:00 ~ 24:00,02-960-1012,65,12건
죠셉의커피나무,커피전문점,3.8,서울 성북구 성북로31길 65,매일 11:00 ~ 22:00,02-741-1060,28,15건
보문골한옥집,한식,3.9,서울 성북구 고려대로2길 77,매일 11:00 ~ 22:00,02-922-1538,28,10건
추억의옛날떡볶이,떡볶이,2.8,서울 성북구 동소문로22길 39-5,화요일,,99,36건
정지춘설렁탕,설렁탕,3.6,서울 성북구 화랑로40길 46,월~토 09:00 ~ 23:00,02-962-9294,50,21건
제주고깃집 안암점,육류/고기,4.5,서울 성북구 안암로 69-1,영업시간 매일 17:00 ~ 24:00,02-926-3696,85,20건
카페그리다,디저트카페,4.5,서울 성북구 솔샘로 19,화~일 11:00 ~ 20:00,02-909-4987,28,14건
스시산,초밥/롤,2.7,서울 성북구 성북로 19,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:00,02-766-3730,44,32건
카페비,카페,2.8,서울 성북구 보문로30길 71,매일 11:00 ~ 24:00,02-921-7797,22,22건
종로곱창철판닭갈비,곱창/막창,4.4,서울 성북구 동소문로6길 8,월~토 11:30 ~ 00:30,,41,30건
롤링파스타 성신여대점,이탈리안,3.3,서울 성북구 동소문로22길 5 2층,매일 11:00 ~ 22:00,02-927-7779,59,10건
오후홍콩 성신여대점,카페,3.9,서울 성북구 동소문로24가길 16,매일 10:00 ~ 22:00,02-6497-6787,225,10건
빕스 미아점,패밀리레스토랑,2.6,서울 성북구 월계로 32 삼성디지털프라자 3층,매일 11:30 ~ 21:30,0507-1359-1997,30,17건
삼성통닭 본점,치킨,3.6,서울 성북구 고려대로24길 60,매일 10:00 ~ 05:00,02-922-0077,27,20건
봉화묵집,한식,4.1,서울 성북구 아리랑로19길 46-2,,02-918-1668,25,20건
국화정원,한식,3.3,서울 성북구 성북로 154,매일 12:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-741-0021,18,8건
제뉴어리피크닉,카페,3.4,서울 성북구 창경궁로43길 26,월/화요일,,129,25건
모짜,이탈리안,4.2,서울 성북구 성북로 102,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-742-1020,34,30건
영철버거 본점,햄버거,4.7,서울 성북구 안암로9가길 100 1층,월~토 10:00 ~ 22:00,02-922-1668,20,46건
스타벅스 성신여대점,커피전문점,3.3,서울 성북구 동소문로24길 12,월~금 07:00 ~ 21:00,1522-3232,26,28건
기차순대국,순대,4.0,서울 성북구 보국문로11길 18-6,매일 09:00 ~ 22:00,02-914-9316,29,24건
우토,일본식주점,4.0,서울 성북구 보문로30길 33,영업시간 화~일 17:00 ~ 02:00,02-929-7145,51,8건
장원산꽃게 아구찜해물탕 월곡동본점,게/대게,4.1,서울 성북구 오패산로 13,매일 11:00 ~ 22:30,02-941-8718,5,10건
옛날농장 미아현대점,육류/고기,4.6,서울 성북구 동소문로 325,매일 09:30 ~ 05:00,02-988-9367,45,60건
커피매터스,카페,4.6,서울 성북구 동소문로10길 19-1,매일 12:00 ~ 21:30,070-8860-8147,73,23건
광명수산,회,4.3,서울 성북구 동소문로 125,매일 11:30 ~ 05:00,02-929-8945,20,7건
성가네낙지마을 석관점,해물/생선,1.7,서울 성북구 화랑로 236,화~일 11:00 ~ 22:00,02-967-4078,24,19건
오버스토리 성북,카페,3.5,서울 성북구 선잠로2다길 13-13 지하1층,영업시간 화~토 13:00 ~ 21:00,02-747-7893,74,17건
와라와라양꼬치앤훠궈,양꼬치,4.0,서울 성북구 동소문로20나길 32,매일 11:00 ~ 23:00,02-928-9896,61,7건
두껍다회선생,회,3.8,서울 성북구 성북로 24 1층,영업시간 월~금 17:00 ~ 24:00,02-743-0797,81,13건
문화식당,이탈리안,4.4,서울 성북구 혜화로 88 2층,월~토 11:30 ~ 23:30 · 브레이크타임 월~토 13:30 ~ 17:30,02-763-4644,67,42건
쵸이양식,양식,4.4,서울 성북구 동소문로20나길 24 2층,월~토 12:00 ~ 21:00,010-6408-9639,101,24건
키나,퓨전한식,0.0,서울 성북구 선잠로 46 1층,,02-764-4580,29,0건
원오프카페,카페,2.8,서울 성북구 동소문로22길 57-4 2층,화~일 12:00 ~ 21:00,,190,30건
장수식당,한식,4.4,서울 성북구 정릉로26길 55,월~토 11:00 ~ 16:00,02-942-9131,50,24건
파세로,이탈리안,4.4,서울 성북구 동소문로23길 8-15,영업시간 화~토 17:00 ~ 01:00,070-4141-5474,97,7건
전통만두국,한식,3.1,서울 성북구 고려대로8길 67,월/화/수/목/금/일 10:30 ~ 21:00,02-926-8756,29,19건
네이버후드,카페,3.8,서울 성북구 대사관로 133 1/2층,매일 11:00 ~ 23:00,,26,14건
백두한우곱창전문,곱창/막창,4.5,서울 성북구 보문로 55 1층,영업시간 월~토 15:00 ~ 24:00,02-927-5954,55,15건
그릭데이 성신여대점,디저트카페,4.4,서울 성북구 보문로34길 64 1층,월~금 11:00 ~ 20:00,02-6053-9222,94,28건
달콤한위로,디저트카페,3.9,서울 성북구 창경궁로43길 24,화~일 12:00 ~ 22:00,02-766-1236,75,18건
무르무르드구스토,이탈리안,3.3,서울 성북구 고려대로 102-2 4층,매일 10:00 ~ 22:00,02-928-0683,83,21건
키작은아저씨초밥,초밥/롤,4.1,서울 성북구 동소문로24길 37,매일 11:00 ~ 23:30,050-7982-6584,27,28건
선동보리밥,한식,2.8,서울 성북구 성북로 134-4,매일 09:30 ~ 22:00,02-743-2096,33,19건
그릴1492 성신여대 직영점,육류/고기,3.9,서울 성북구 아리랑로2길 5,월~금 11:00 ~ 02:00,02-923-1492,300,27건
비양도,일식,2.4,서울 성북구 성북로 158,매일 11:30 ~ 22:00,02-741-1588,35,9건
카페1976,디저트카페,3.2,서울 성북구 도봉로 1,월~토 07:30 ~ 22:00,02-989-8613,34,6건
보배반점 하월곡본점,중식,4.0,서울 성북구 종암로 184,매일 11:00 ~ 22:00,02-909-0184,98,25건
달밝은집,육류/고기,2.2,서울 성북구 정릉로6길 35 1층,영업시간 화~금 16:00 ~ 22:00,010-5042-7232,27,20건
맥도날드 종암SK점,패스트푸드,2.6,서울 성북구 종암로 58,매일 00:00 ~ 24:00,070-7017-0661,7,18건
발효명가기와집갈비,갈비,4.1,서울 성북구 화랑로25길 18,매일 11:00 ~ 22:00,02-943-3851,26,10건
스타벅스 성신여대정문,커피전문점,4.6,서울 성북구 보문로34길 62,월~금 07:00 ~ 21:00,1522-3232,14,14건
투고샐러드 본점,양식,3.8,서울 성북구 보문로34나길 3,매일 10:30 ~ 20:30 · 브레이크타임 매일 15:30 ~ 16:30,02-999-2217,37,26건
푸른농장정육식당,육류/고기,4.0,서울 성북구 보문로 181,매일 10:00 ~ 24:00,02-929-4816,21,20건
대머리식당,한식,3.3,서울 성북구 돌곶이로 162,월~토 09:00 ~ 22:00,02-915-9233,29,7건
원조한방삼계탕,삼계탕,4.0,서울 성북구 고려대로1길 92,,02-926-5138,14,12건
길음모소리,육류/고기,4.6,서울 성북구 삼양로 13 1층,,,67,15건
상미규카츠,일식,3.6,서울 성북구 동소문로20길 39,매일 11:00 ~ 02:00 · 브레이크타임 매일 15:30 ~ 16:30,,56,23건
정가네지짐이,한식,2.8,서울 성북구 아리랑로19길 20 영신빌딩 1층 102호,영업시간 월~토 16:00 ~ 01:00,02-942-3694,45,18건
샤뽀블랑,제과/베이커리,4.6,서울 성북구 성북로 60 1층,월~토 08:30 ~ 23:00,02-741-6763,23,48건
스타벅스 길음역점,커피전문점,2.6,서울 성북구 정릉로 376,월~금 07:00 ~ 22:00,1522-3232,15,16건
스타벅스 종암DT점,커피전문점,2.8,서울 성북구 종암로 17,매일 07:00 ~ 22:00,1522-3232,10,23건
성북면가,냉면,3.5,서울 성북구 동소문로 67,매일 10:30 ~ 22:00,02-929-5767,44,31건
키바레,일본식라면,3.9,서울 성북구 동소문로22길 19-7,매일 11:30 ~ 22:00,02-923-3271,19,37건
메리킹 서울북부점,샤브샤브,3.6,서울 성북구 종암로 167 4층,매일 11:15 ~ 22:00 · 브레이크타임 월~금 15:30 ~ 17:30,02-941-4100,15,18건
성북동소곱창,곱창/막창,3.9,서울 성북구 성북로 57-1,영업시간 매일 17:00 ~ 23:00,02-765-3392,38,15건
이태리총각 성북동점,이탈리안,3.1,서울 성북구 고려대로5길 85,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6405-8893,35,11건
메기의추억,매운탕/해물탕,4.8,서울 성북구 종암로 98-7,매일 10:00 ~ 23:00,02-922-8690,29,9건
디어브레드 고대점,제과/베이커리,4.5,서울 성북구 개운사1길 29,월~토 09:00 ~ 19:00,070-7661-4129,32,41건
머구리 석계역점,회,4.7,서울 성북구 한천로78길 47 1층,영업시간 월~토 17:00 ~ 02:00,02-966-5008,10,3건
자작나무 북악점,육류/고기,2.6,서울 성북구 정릉로10길 107 1/2층,매일 11:30 ~ 21:30,02-943-8292,23,5건
모던바이츠,제과/베이커리,4.6,서울 성북구 보문로32길 69,매일 11:00 ~ 19:30,,19,16건
밀양손칼국수집,국수,3.1,서울 성북구 동소문로26길 13,,02-924-7107,21,7건
팔백집,갈비,3.6,서울 성북구 고려대로27길 3,매일 10:30 ~ 23:00,02-921-5567,67,10건
피카커피,커피전문점,4.4,서울 성북구 고려대로30길 29,매일 10:00 ~ 23:00,02-6339-3537,5,17건
리이케커피,커피전문점,3.9,서울 성북구 보문로34가길 24 1층,매일 12:00 ~ 18:00,010-7173-1965,9,26건
귀한족발 돈암본점,족발/보쌈,3.2,서울 성북구 동소문로20다길 3 1층,매일 12:00 ~ 03:00,02-6221-7779,27,11건
카페동선동,디저트카페,3.5,서울 성북구 동소문로 129-2,월~금 12:00 ~ 22:00,,93,13건
혜화면옥,냉면,3.0,서울 성북구 보문로 193-1,매일 11:00 ~ 22:00,02-921-3451,26,17건
미아리우동집,국수,3.7,서울 성북구 종암로 176,매일 00:00 ~ 24:00,02-918-1112,29,27건
천막집,육류/고기,4.2,서울 성북구 보문로30길 31,영업시간 월~토 17:30 ~ 01:00,,45,10건
대한맥주집 성신여대직영점,치킨,4.2,서울 성북구 동소문로24길 49,영업시간 매일 16:00 ~ 02:00,02-924-0815,71,25건
송림원,중화요리,3.9,서울 성북구 동소문로 25-2,매일 12:00 ~ 21:00,02-764-7970,14,21건
일일커피,카페,3.8,서울 성북구 삼양로 27,화~일 10:00 ~ 21:30,070-8845-3583,72,19건
팬쿡,양식,4.4,서울 성북구 동소문로24길 37 2층,매일 11:30 ~ 22:00,02-6339-3323,112,11건
제나키친,한식,4.3,서울 성북구 화랑로11길 23 2층,월/화/수/목/금/일 10:00 ~ 23:00 · 브레이크타임 월/화/수/목/금/일 15:00 ~ 17:30,02-941-5282,52,23건
일상,커피전문점,4.4,서울 성북구 성북로 106,화~일 11:30 ~ 19:00,,24,21건
긴자료코 성신여대점,일식,3.4,서울 성북구 보문로34가길 5 1층,매일 11:30 ~ 21:00,02-929-1655,59,14건
정릉회관,삼겹살,4.6,서울 성북구 솔샘로12길 1 1층,,02-911-3393,12,13건
창신동매운족발 석계점,족발/보쌈,2.9,서울 성북구 한천로78길 52,영업시간 매일 14:00 ~ 01:00,02-959-8033,76,9건
오백집왕족발,족발/보쌈,3.3,서울 성북구 동소문로20길 20,매일 12:00 ~ 24:00,02-922-2500,23,18건
성북동디너쑈,퓨전요리,3.3,서울 성북구 창경궁로43길 6,매일 11:00 ~ 22:00,02-741-3335,46,18건
째즈스토리,라이브카페,4.6,서울 성북구 혜화로 88,영업시간 매일 17:00 ~ 02:00,02-725-6537,9,5건
소한마리정육식당 정릉점,육류/고기,2.8,서울 성북구 정릉로 165 1~3층,매일 11:00 ~ 22:00,02-917-9000,13,8건
두끼 성신여대점,떡볶이,3.4,서울 성북구 보문로34길 59 2층,매일 11:00 ~ 22:00,02-921-2771,82,10건
참나무닭나라,치킨,4.8,서울 성북구 동소문로8길 12,,02-766-9192,15,17건
불맛나는직화짬뽕전문점 장위점,중화요리,4.5,서울 성북구 돌곶이로 105 1층,화~일 09:30 ~ 21:00,02-941-5051,11,32건
호랑이김밥,분식,4.1,서울 성북구 성북로 18,매일 10:00 ~ 19:00,02-928-3454,19,24건
스타벅스 안암역점,커피전문점,3.9,서울 성북구 고려대로 102-2,월~금 07:00 ~ 21:00,1522-3232,10,14건
영순관,중화요리,3.6,서울 성북구 지봉로24길 19,매일 11:00 ~ 20:30,02-926-5479,16,15건
착한돼지집,한식,4.9,서울 성북구 삼선교로 55,영업시간 월~금 17:00 ~ 01:00,02-923-1117,50,7건
화야,육류/고기,4.5,서울 성북구 종암로28길 7,매일 11:30 ~ 23:30,02-943-9285,25,8건
소우락정육식당 점릉본점,육류/고기,3.8,서울 성북구 보국문로 69 2층,매일 11:30 ~ 23:30,02-911-9500,4,4건
차이나칸,중화요리,3.5,서울 성북구 월계로40길 7 지하1층,매일 11:30 ~ 21:20,02-909-2246,41,8건
비나케이크,디저트카페,3.9,서울 성북구 보문로30길 12 101호,월~토 10:00 ~ 20:00,02-953-7070,22,8건
밀월,카페,4.1,서울 성북구 동소문동4가 16,화~토 12:00 ~ 22:00,,68,15건
온달왕돈까스치킨,돈까스/우동,3.7,서울 성북구 동소문로20가길 38,,02-923-6557,29,15건
쿠이도라쿠,일본식라면,2.9,서울 성북구 안암로 103,매일 11:30 ~ 21:30,02-929-9290,27,32건
신사소곱창 석관점,곱창/막창,2.7,서울 성북구 한천로76다길 43,영업시간 월~토 16:00 ~ 02:00,,88,9건
스타벅스 고대점,커피전문점,3.2,서울 성북구 고려대로24길 51 1층 & 2층,월~금 07:00 ~ 21:00,1522-3232,9,13건
카페하늘,카페,3.5,서울 성북구 성북로28길 6-5,화~토 10:00 ~ 22:00,02-741-0640,28,4건
메종드루즈,제과/베이커리,4.5,서울 성북구 보문로34길 68-5,화~토 10:30 ~ 20:00,02-922-2092,30,44건
포썸,베트남음식,3.9,서울 성북구 동소문로 125 골든타워,월~토 11:00 ~ 21:00,02-921-3061,86,17건
바스크,카페,3.2,서울 성북구 삼양로9길 10-2,화~일 12:00 ~ 19:00,02-941-5168,20,18건
이름없는파스타 성신여대점,이탈리안,3.2,서울 성북구 동소문로20다길 33,,070-8860-9171,170,26건
용초수,중화요리,4.1,서울 성북구 고려대로27길 20,매일 10:30 ~ 21:00,02-922-7991,30,32건
모던양갱집,디저트카페,5.0,서울 성북구 보국문로16길 72 1층,월~토 10:00 ~ 20:00,,42,2건
삼청각 일화당(2021년7월31일까지임시휴업),한식,3.7,서울 성북구 대사관로 3,,02-765-3700,12,3건
마전터,국밥,3.6,서울 성북구 혜화로 82-2,월~금 09:30 ~ 21:30,02-765-7575,41,8건
동방손칼국수,국수,3.9,서울 성북구 서경로 91,,02-909-5953,18,13건
우리할매떡볶이 성신여대점,떡볶이,3.7,서울 성북구 보문로30길 82,매일 11:00 ~ 21:00 · 브레이크타임 매일 14:00 ~ 15:10,02-922-1107,99,23건
근처식당,동남아음식,3.6,서울 성북구 회기로3길 2,월~금 11:30 ~ 22:30,010-7470-4393,77,15건
큰대문집,갈비,4.0,서울 성북구 종암로14길 6-21,매일 11:30 ~ 21:30,02-913-0902,9,6건
강릉메밀촌,국수,4.5,서울 성북구 보국문로2길 1 1층,,02-911-2232,15,23건
능이마을 본점,오리,3.5,서울 성북구 돌곶이로 21 1층,매일 12:00 ~ 22:00,02-968-3392,16,12건
김덕후의곱창조 성신여대점,곱창/막창,4.7,서울 성북구 동소문로20길 37-21 1층,영업시간 매일 16:00 ~ 01:30,,62,9건
밥짓고티우림,한식,3.9,서울 성북구 성북로2길 15,월~토 12:00 ~ 21:30 · 브레이크타임 월~토 15:00 ~ 17:30,02-6349-4999,20,20건
베나레스,인도음식,3.6,서울 성북구 고려대로24길 27 2층,월~금 11:30 ~ 21:30,02-921-9982,42,25건
커피스토어,카페,4.9,서울 성북구 안암로5길 72,화~금 12:00 ~ 21:00,,30,16건
공복,육류/고기,3.6,서울 성북구 장월로1길 60,영업시간 매일 16:00 ~ 24:00,02-914-6692,41,12건
도쿄커틀릿,돈까스/우동,3.9,서울 성북구 동소문로22길 57-1 1층,매일 11:30 ~ 22:00,02-6465-4050,91,28건
와플앨리,제과/베이커리,4.4,서울 성북구 고려대로28길 21,월~금 11:00 ~ 23:00,02-928-3115,36,12건
살살솔트앤샐러드,패스트푸드,4.3,서울 성북구 성북로6길 20 1층,화~토 11:00 ~ 20:30 · 브레이크타임 화~토 15:00 ~ 16:30,,96,26건
프로마치,양식,4.4,서울 성북구 고려대로24가길 13 1층,월~금 11:00 ~ 21:00,070-4038-8537,25,25건
엽기꼼닭발,닭요리,4.4,서울 성북구 보문로 107-1,영업시간 매일 16:00 ~ 02:30,02-921-9296,52,12건
테리키친,이탈리안,5.0,서울 성북구 보문로39길 4 1층,월~토 11:30 ~ 22:00,02-6082-6756,40,15건
하단,한식,2.8,서울 성북구 성북로6길 14,화요일,02-764-5744,30,31건
