식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
남한강민물매운탕,매운탕/해물탕,3.6,서울 광진구 동일로 150,매일 11:30 ~ 22:30,02-464-7568,85,19건
오코노미야키식당하나,일식,4.8,서울 광진구 능동로13길 111 1층,화요일,02-469-8884,112,79건
메이탄,중화요리,4.7,서울 광진구 광나루로 590 아산빌딩 1층,매일 11:00 ~ 21:30,02-454-6688,54,23건
계탄집 본점,닭요리,4.4,서울 광진구 능동로 31 1층,영업시간 매일 12:30 ~ 01:30,02-464-6804,99,46건
빠오즈푸,중화요리,4.1,서울 광진구 광나루로 373 1층,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-462-9256,204,87건
마초쉐프 건대점,이탈리안,3.0,서울 광진구 능동로 125 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-497-8886,196,33건
하이디라오코리아 건대점,중화요리,4.5,서울 광진구 능동로 110 2층,매일 10:00 ~ 24:00,02-456-5683,124,43건
함흥본가면옥 건대점,냉면,3.5,서울 광진구 광나루로 456,매일 11:00 ~ 22:00,02-447-8806,75,36건
모두랑,분식,3.3,서울 광진구 자양로28길 24,매일 09:00 ~ 22:00,02-457-1178,124,21건
호야초밥참치 본점,초밥/롤,2.4,서울 광진구 능동로13길 36,매일 11:30 ~ 24:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-461-3739,115,121건
스시텐 강변점,초밥/롤,4.3,서울 광진구 구의강변로 86 강변리치타워 101호,매일 11:30 ~ 21:00,,84,45건
매화반점 1호점,중화요리,3.1,서울 광진구 동일로18길 105,매일 12:00 ~ 01:00,02-498-1939,94,57건
비에이치테이블,카페,4.7,서울 광진구 아차산로45길 16 1층,,,110,23건
안다즈커피,커피전문점,3.6,서울 광진구 천호대로132길 10 1층,매일 10:00 ~ 22:00,0507-1324-4277,159,29건
롤링파스타 건대지점,이탈리안,3.4,서울 광진구 능동로 127 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 17:00,02-3443-3864,148,27건
건대사시미,회,3.1,서울 광진구 아차산로33길 23,영업시간 매일 16:30 ~ 05:00,02-465-3222,298,15건
체리커피,커피전문점,2.7,서울 광진구 능동로 284,매일 09:00 ~ 23:00,02-444-7222,142,40건
우마이도 건대점,일본식라면,3.8,서울 광진구 능동로 135-2,매일 11:30 ~ 21:30 · 브레이크타임 매일 14:30 ~ 17:00,02-467-8788,93,79건
민벅 건대점,양식,3.9,서울 광진구 능동로13길 39 한아름쇼핑센터 1층,매일 11:30 ~ 22:00,02-469-4455,314,35건
대명소곱창,곱창/막창,3.8,서울 광진구 능동로 298,영업시간 매일 15:00 ~ 01:00,,73,33건
최가커피,커피전문점,4.1,서울 광진구 능동로13길 23,월~토 10:30 ~ 23:30,02-465-7998,174,62건
강릉엄지네꼬막집 구의역점,한식,3.8,서울 광진구 아차산로 375 크레신타워3차 2층,매일 10:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-452-2992,60,13건
경양카츠 건대점,돈까스/우동,4.0,서울 광진구 동일로20길 60 연일빌딩 1층,화요일,02-6465-2777,212,36건
은혜즉석떡볶이,떡볶이,3.4,서울 광진구 광나루로 381-1 2층,매일 10:30 ~ 22:00,02-468-7401,187,32건
가온,국수,3.0,서울 광진구 아차산로78길 75 현대골든텔2차 106호,매일 11:30 ~ 22:30,02-3436-7100,46,33건
호파스타,이탈리안,4.0,서울 광진구 군자로3길 23,매일 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-499-1003,135,59건
고기대통령 본점,고기뷔페,3.9,서울 광진구 능동로 91 2층,매일 11:30 ~ 00:30,02-462-9080,50,13건
우성식당,기사식당,2.4,서울 광진구 자양동 611-2,매일 09:00 ~ 23:00,02-453-4636,33,12건
순금이떡볶이,떡볶이,3.2,서울 광진구 자양로43길 43,매일 10:30 ~ 00:30,02-455-8090,173,56건
마우스레빗,카페,3.8,서울 광진구 능동로11길 10,월~금 10:00 ~ 24:00,02-462-4015,36,33건
도톰 본점,육류/고기,4.7,서울 광진구 능동로 386 1층,매일 12:00 ~ 24:00,02-444-4231,162,29건
소담촌 아차산역점,샤브샤브,4.1,서울 광진구 용마산로 10 3층,매일 11:00 ~ 22:00,02-2201-8800,86,9건
라화쿵부 건대점,중화요리,2.1,서울 광진구 아차산로30길 42,매일 00:00 ~ 24:00,02-462-7778,415,44건
매운향솥 본점,중화요리,3.8,서울 광진구 동일로18길 61,영업시간 매일 12:30 ~ 24:00,02-6461-0016,363,68건
깍뚝,삼겹살,4.5,서울 광진구 능동로19길 36 1층,영업시간 매일 16:00 ~ 01:00,02-466-0106,48,31건
릴리베이커리,제과/베이커리,4.0,서울 광진구 능동로13길 21 1층,월~금 11:00 ~ 24:00,02-469-0888,117,44건
화기애애 건대점,육류/고기,4.4,서울 광진구 아차산로31길 16,영업시간 매일 16:00 ~ 01:00,02-461-7585,94,30건
더이퀼리브리엄커피,커피전문점,4.4,서울 광진구 아차산로30길 7 3층,월~금 08:30 ~ 22:00,070-8834-1179,64,17건
인덱스숍,북카페,4.5,서울 광진구 아차산로 200 커먼그라운드 3층,매일 11:00 ~ 22:00,02-2122-1259,170,35건
천지샤브샤브 2호점,샤브샤브,4.4,서울 광진구 아차산로29길 22 2층,매일 11:30 ~ 22:00,02-466-6334,92,40건
장군갈비,갈비,4.2,서울 광진구 용마산로 11,매일 11:00 ~ 22:00,02-447-3479,14,14건
랑데자뷰 건대점,카페,2.9,서울 광진구 아차산로31길 3,매일 11:30 ~ 23:00,070-7718-3088,105,12건
최원석의돼지한판 광장점,육류/고기,4.2,서울 광진구 아차산로 478 1층,매일 11:30 ~ 01:00,02-447-4544,100,22건
민정식당 본점,한식,4.6,서울 광진구 아차산로42길 41-4,월~토 11:00 ~ 22:00,02-452-3574,52,26건
명봉반점,양꼬치,3.6,서울 광진구 뚝섬로31길 59,매일 12:00 ~ 03:00,02-498-8808,391,40건
스위트앤카츠 화양직영점,돈까스/우동,3.3,서울 광진구 광나루로17길 14 1층,매일 11:00 ~ 21:30,02-467-0053,20,24건
돕,감자탕,2.9,서울 광진구 아차산로31길 9,매일 00:00 ~ 24:00,02-499-2838,106,41건
그리네,디저트카페,2.6,서울 광진구 군자로 139 1층,매일 07:00 ~ 02:00,070-3599-1146,111,23건
로얄인디안레스토랑 건대점,인도음식,4.4,서울 광진구 동일로22길 42 2층,매일 11:00 ~ 21:30,02-466-8809,65,29건
명월관,육류/고기,3.6,서울 광진구 워커힐로 177,매일 12:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:30,02-450-4595,21,17건
마리모,돈까스/우동,4.0,서울 광진구 면목로 22-1 1층,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 14:30 ~ 17:00,02-462-4186,45,25건
이화만두,분식,4.5,서울 광진구 능동로 278-1 1층,,02-455-3486,64,31건
제주탐하리,육류/고기,4.1,서울 광진구 천호대로101길 11,영업시간 매일 17:00 ~ 24:00,02-461-2352,63,26건
대원칼국수,국수,4.4,서울 광진구 자양로18길 56 2층,월~토 11:00 ~ 20:00,02-454-3112,57,30건
아오스요거트,디저트카페,3.7,서울 광진구 능동로 153 1층,월~금 09:00 ~ 21:00,070-8111-9451,150,39건
뽀빠이기사식당,기사식당,3.8,서울 광진구 긴고랑로 17-1,매일 00:00 ~ 24:00,02-467-2445,39,15건
소문난 숯불구이,갈비,3.1,서울 광진구 자양번영로 28,매일 11:30 ~ 22:00,02-444-1122,45,20건
조씨네고기국수,국수,3.6,서울 광진구 군자로3길 23,매일 11:20 ~ 21:00 · 브레이크타임 매일 15:30 ~ 17:00,02-499-9501,93,47건
바나나토크,양식,3.2,서울 광진구 능동로 237 지상 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-467-3370,84,41건
미분당 건대점,베트남음식,3.1,서울 광진구 군자로3길 27,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,,38,47건
택이네조개전골 군자점,조개,3.8,서울 광진구 천호대로 591 유신빌딩 1층,월~금 11:00 ~ 22:00 · 브레이크타임 매일 15:00 ~ 16:30,02-455-9982,52,12건
펠어커피 구의점,커피전문점,4.0,서울 광진구 아차산로59길 63 1층,화~토 11:30 ~ 20:00,0507-1447-0140,158,6건
서울편백찜 광장점,육류/고기,3.6,서울 광진구 광장로 83 1층,매일 10:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,02-456-2096,92,7건
커피나무 건대입구역점,커피전문점,4.5,서울 광진구 동일로22길 117-26,월/화/수/목/일 10:00 ~ 24:00,02-466-1415,38,25건
선남씨,초밥/롤,3.8,서울 광진구 자양번영로 62 예닮빌딩 1층,월~금 11:30 ~ 22:30 · 브레이크타임 월~금 15:00 ~ 17:00,02-456-8195,18,24건
천미천훠궈,샤브샤브,4.8,서울 광진구 천호대로110길 8-10,,02-429-3826,112,27건
그랜드 워커힐 서울 더뷔페,뷔페,4.3,서울 광진구 워커힐로 177 2층,매일 07:00 ~ 21:00 · 브레이크타임1 매일 10:00 ~ 12:00 · 브레이크타임2 매일 15:00 ~ 18:00,02-450-4466,162,23건
도치피자 강변점,양식,3.1,서울 광진구 아차산로62길 14-4,매일 11:30 ~ 22:00,02-446-8006,155,15건
조선주막 건대점,호프/요리주점,3.8,서울 광진구 아차산로33길 28-4,영업시간 매일 15:30 ~ 05:00,02-462-1801,23,12건
기와집 한방능이백숙명품삼계탕 본점,삼계탕,3.6,서울 광진구 면목로 32 1층,매일 10:30 ~ 23:00,02-2242-4145,339,8건
소바쿠,일식,3.0,서울 광진구 천호대로 650,매일 11:30 ~ 21:00,02-447-1470,123,34건
어반나이프 강변점,양식,2.5,서울 광진구 구의강변로 85 1~3층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-455-6628,83,16건
넥스트에디션 건대2호점,테마카페,3.0,서울 광진구 아차산로 192 별관 2/3층,매일 10:30 ~ 24:00,0507-417-8580,239,6건
잉글사이드 군자본점,이탈리안,2.2,서울 광진구 능동로 282 1층,화~금 11:30 ~ 22:00 · 브레이크타임 화~금 15:00 ~ 17:00,02-455-7893,63,15건
소신이쏘 건대점,갈비,4.3,서울 광진구 아차산로31길 9-1 2층,매일 12:00 ~ 22:10 · 브레이크타임 매일 15:00 ~ 17:00,02-461-4616,200,26건
마당족발,족발/보쌈,4.5,서울 광진구 능동로 173 1/ 2층,매일 11:20 ~ 23:30,02-468-3030,86,12건
라구뜨,뷔페,4.1,서울 광진구 능동로 90 더클래식500 B동 3층,월~토 07:00 ~ 21:30 · 브레이크타임1 매일 10:00 ~ 12:00 · 브레이크타임2 월~금 14:30 ~ 18:00,02-2218-5770,103,22건
짬뽕지존 아차산역점,중식,2.7,서울 광진구 천호대로 682,매일 00:00 ~ 24:00 · 브레이크타임 매일 08:00 ~ 10:00,02-454-5060,137,27건
포차조개구이,조개,5.0,서울 광진구 용마산로 40,영업시간 매일 14:00 ~ 02:00,,64,8건
시드누아 중곡센터점,커피전문점,3.4,서울 광진구 천호대로127길 44,매일 11:00 ~ 19:00,02-446-8115,80,22건
스시안,초밥/롤,4.5,서울 광진구 천호대로127길 9,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:30 ~ 16:30,02-3436-2120,65,15건
카페히릿,애견카페,3.7,서울 광진구 광나루로 404 3층,매일 11:00 ~ 22:00,070-8870-4442,24,12건
고고기,육류/고기,3.8,서울 광진구 아차산로 471 CS프라자빌딩 1층,매일 11:00 ~ 24:00,02-454-0092,61,27건
텐동한,일식,3.4,서울 광진구 능동로38길 32 1층,매일 11:30 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,02-6080-5856,100,39건
마루샤브 아차산점,샤브샤브,2.8,서울 광진구 천호대로 633 2층,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:30 ~ 17:30,02-454-3300,41,12건
무한양꼬치,양꼬치,3.9,서울 광진구 아차산로29길 41 2층,매일 12:00 ~ 01:00,,85,28건
포비,일식,3.8,서울 광진구 동일로26길 57 1층,영업시간 매일 16:00 ~ 24:00,02-497-8555,179,38건
미식반점,중화요리,3.1,서울 광진구 군자동 362-1 1층,매일 11:30 ~ 22:00 · 브레이크타임 매일 15:00 ~ 17:00,02-466-2020,82,21건
찌마기 구의점,조개,4.2,서울 광진구 구의로 17,,02-6338-9922,38,16건
메종드타르트,제과/베이커리,4.2,서울 광진구 자양로53길 69,화~일 11:00 ~ 21:00,02-457-5544,49,12건
영동교집,삼겹살,2.7,서울 광진구 아차산로33길 16-2,매일 12:00 ~ 01:00,02-461-1818,218,26건
니집안방,한정식,3.8,서울 광진구 동일로22길 54,매일 11:00 ~ 06:00,02-462-7575,100,5건
역전할머니맥주 건대점,호프/요리주점,3.5,서울 광진구 아차산로25길 13,영업시간 매일 15:00 ~ 05:00,02-468-3400,61,15건
세광양대창 군자점,곱창/막창,3.7,서울 광진구 능동로36길 16,영업시간 매일 16:00 ~ 03:00,02-444-3372,132,6건
북카페세모,북카페,3.0,서울 광진구 아차산로31길 20 2/ 3층,월~금 12:00 ~ 01:00,02-463-0305,133,12건
정성육회 서울직영점,육류/고기,5.0,서울 광진구 자양로43길 7 1층,영업시간 매일 16:00 ~ 02:00,02-6397-0221,119,5건
고향집,해물/생선,4.4,서울 광진구 아차산로49길 30,월~토 11:30 ~ 22:00 · 브레이크타임 월~토 15:30 ~ 17:30,02-452-0004,18,7건
그자체베이커리 2호점,제과/베이커리,2.5,서울 광진구 능동로13길 65 2층,매일 12:00 ~ 23:00,,113,14건
W1,호프/요리주점,2.8,서울 광진구 동일로22길 117-11,,,240,6건
대양참치 구의점,참치회,4.7,서울 광진구 자양로18길 96 베스트트레드빌1층,영업시간 월~토 17:30 ~ 01:00,02-455-8087,175,12건
아웃백스테이크하우스 건대스타시티점,패밀리레스토랑,4.0,서울 광진구 능동로 92 스타시티몰 스타존 2층,월/화/수/목/일 11:00 ~ 22:30,02-2218-3021,149,21건
뺑드램,제과/베이커리,4.5,서울 광진구 뚝섬로 599,월/화/목/금/토/일 08:00 ~ 22:00,02-454-7795,28,36건
고흥순대국 건국대본점,순대,3.9,서울 광진구 아차산로34길 26,월~토 06:00 ~ 02:00,02-497-7876,24,38건
부탄츄 건대점,일본식라면,3.7,서울 광진구 동일로22길 117-14,매일 11:00 ~ 21:00,02-469-3304,68,44건
범가,중화요리,2.6,서울 광진구 광장로 58-1,매일 12:00 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:00,,71,33건
봉자마라탕,중식,3.5,서울 광진구 동일로18길 22,월/화/수/목/토/일 11:00 ~ 24:00,02-499-8889,69,33건
유키노하나,일본식주점,4.5,서울 광진구 아차산로33길 21-5,영업시간 월~목 18:00 ~ 03:00,02-6085-9512,50,25건
소사면옥,냉면,4.1,서울 광진구 능동로 270 윤중빌딩 1층,화요일,02-447-0904,59,17건
엘루이피자&펍 건대점,피자,4.0,서울 광진구 아차산로33길 35,영업시간 월/화/수/목/일 17:00 ~ 03:00,,233,25건
예담밥상,한정식,2.9,서울 광진구 동일로22길 13 1층,매일 10:00 ~ 22:00,02-469-0072,16,23건
요마시,일식,4.6,서울 광진구 천호대로102길 7 1층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 14:30 ~ 17:10,02-468-8788,60,30건
어울림,해물/생선,2.5,서울 광진구 광장로1나길 10 1층,,02-453-1470,26,16건
유일설렁탕,설렁탕,4.3,서울 광진구 용마산로 154,매일 08:00 ~ 21:00 · 브레이크타임 매일 16:00 ~ 17:00,02-452-5860,34,15건
오징어상미수산,회,4.0,서울 광진구 면목로 34,,02-497-2954,46,14건
강경수참치,참치회,4.4,서울 광진구 아차산로33길 34 2층,영업시간 월~토 17:30 ~ 22:00,02-466-8240,18,12건
뽕사부 건대점,중식,4.2,서울 광진구 아차산로 205,매일 00:00 ~ 24:00,02-462-1008,81,11건
플라이팬커피,커피전문점,4.2,서울 광진구 능동로3길 14,매일 08:00 ~ 23:00,,34,15건
열매제과점,카페,4.9,서울 광진구 동일로24길 31 1층,월/화요일,010-5814-3738,79,30건
카페 드노보,카페,3.6,서울 광진구 아차산로78길 157,매일 11:00 ~ 22:00,,63,21건
와꼬,회,3.4,서울 광진구 구의강변로 88 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 16:00 ~ 17:00,02-457-9996,44,8건
대흥양다리바베큐 건대점,중화요리,4.7,서울 광진구 아차산로30길 39 1층,매일 12:00 ~ 02:00,02-468-6669,60,23건
복만루 3호점,중화요리,4.0,서울 광진구 동일로20길 106 2층 202호,매일 12:00 ~ 24:00,02-498-1685,51,13건
바르미 샤브샤브n칼국수 구의점,샤브샤브,3.9,서울 광진구 아차산로 471 CS플라자 3층,매일 11:00 ~ 22:00,02-3437-1005,21,14건
팀스쿡 구의점,이탈리안,3.8,서울 광진구 광나루로50길 10,매일 11:30 ~ 22:00,02-447-0880,70,10건
임진강,장어,4.3,서울 광진구 긴고랑로 93,매일 10:00 ~ 22:00,02-452-7171,29,6건
스시토푸,초밥/롤,2.9,서울 광진구 아차산로 612,매일 11:30 ~ 21:30 · 브레이크타임 매일 15:00 ~ 17:00,070-7624-9671,38,19건
오페뜨 건대점,카페,3.0,서울 광진구 능동로 111 2층,매일 10:00 ~ 23:30,070-4139-3664,128,15건
스타벅스 건대입구,커피전문점,4.0,서울 광진구 능동로 107,11/09(화)/ 11/10(수)/ 11/11(목)/ 11/12(금)/ 11/13(토)/ 11/14(일)/ 11/15(월),1522-3232,18,21건
도쿄빙수 건대점,디저트카페,3.7,서울 광진구 아차산로31길 45 1층,매일 12:00 ~ 22:00,02-466-2012,88,34건
수작나베 강변본점,샤브샤브,3.6,서울 광진구 구의강변로 106 삼성쉐르빌 1층 110호,월/화/수/목/일 11:30 ~ 22:00,02-457-3767,99,16건
사거리식당 건대직영점,닭요리,4.0,서울 광진구 아차산로33길 43,,02-467-3392,87,12건
황금손가락초밥,초밥/롤,3.4,서울 광진구 구의강변로 49,매일 11:30 ~ 24:00,02-453-3599,72,25건
헤르츠커피로스팅,커피전문점,4.7,서울 광진구 능동로 334,화~일 09:00 ~ 22:00,,56,63건
행복한우,육류/고기,4.2,서울 광진구 구의강변로 30,매일 09:00 ~ 02:00,02-446-6987,65,20건
도도곱창,곱창/막창,4.1,서울 광진구 아차산로34길 18,영업시간 월~토 15:30 ~ 01:00,02-2298-7789,59,16건
돈수작 능동본점,족발/보쌈,3.5,서울 광진구 능동로36길 13 1층,,02-455-4535,53,4건
신사소곱창 건대점,곱창/막창,2.3,서울 광진구 아차산로31길 39,영업시간 월~토 17:00 ~ 01:00,02-2205-0103,127,16건
카페K375,카페,3.4,서울 광진구 아차산로33길 68 지하/1~2층,영업시간 매일 13:00 ~ 23:30,02-467-4468,115,31건
새벽집 군자점,갈비,2.0,서울 광진구 광나루로 369 광진두산위브파크 1층,매일 10:30 ~ 22:30,02-466-8301,102,8건
노룬산분식점,분식,3.9,서울 광진구 뚝섬로 491,,02-465-1739,31,10건
히어로보드게임카페 건대1호점,보드카페,3.5,서울 광진구 아차산로 221 3층,영업시간 월~목 13:00 ~ 24:00,02-466-1203,35,19건
카페러슬,카페,4.1,서울 광진구 자양로37길 63 3층,화~일 10:00 ~ 22:00,070-4202-1555,53,16건
오렌지룸 건대점,호프/요리주점,3.7,서울 광진구 동일로22길 100,영업시간 매일 17:00 ~ 06:00,02-461-1236,20,3건
최원석의돼지한판쭈꾸미 건대1호점,육류/고기,3.6,서울 광진구 아차산로 199,매일 11:30 ~ 01:00,02-461-1272,123,23건
일송정,한정식,1.8,서울 광진구 아차산로49길 21,,02-447-2233,61,6건
CAFE22,카페,4.2,서울 광진구 아차산로31길 54 2층,월~금 12:00 ~ 24:00,02-3482-1448,99,5건
송쉐프 구의점,중화요리,4.3,서울 광진구 아차산로 355 타워더모스트광진아크로텔 2층,,02-446-6000,34,15건
벨롱에스프레소,커피전문점,4.4,서울 광진구 능동로17길 34 1층,월~토 11:00 ~ 23:00,02-2201-2266,54,25건
동해해물,해물/생선,2.4,서울 광진구 동일로26길 16,매일 10:30 ~ 21:30,02-469-5843,24,18건
후타리 건대2호점,일본식주점,4.0,서울 광진구 동일로22길 32 1층,영업시간 월~토 17:00 ~ 04:00,010-8502-6825,31,11건
건대스시,초밥/롤,3.9,서울 광진구 능동로13길 19 2층,월~토 11:30 ~ 24:00,02-467-8237,28,21건
빕스 어린이대공원점,패밀리레스토랑,3.6,서울 광진구 광나루로 410 KCC파크타운 오피스텔 2층,매일 10:30 ~ 21:30,02-453-1997,26,13건
명가소문난왕족발순대국 신성시장본점,족발/보쌈,3.8,서울 광진구 자양로53길 118,매일 09:00 ~ 21:30,02-452-5687,9,13건
원보양꼬치,양꼬치,4.3,서울 광진구 동일로18길 23,영업시간 매일 14:00 ~ 03:00,02-467-7771,166,7건
골목에골목,떡볶이,3.8,서울 광진구 아차산로33길 51-4 2층,월~토 11:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 16:30,02-468-9166,32,16건
망향비빔국수 광진점,국수,3.5,서울 광진구 천호대로 694,매일 10:30 ~ 22:00,02-454-1357,113,35건
천향마라탕 건대점,중화요리,3.8,서울 광진구 아차산로30길 20,매일 11:00 ~ 22:00,02-2233-1288,62,33건
일품대가삼계탕,삼계탕,3.8,서울 광진구 아차산로 358 1층,매일 11:00 ~ 22:00,02-444-2081,33,18건
육성회비,호프/요리주점,4.0,서울 광진구 동일로24길 19 1층 101호,영업시간 매일 17:00 ~ 22:00,02-468-8096,82,25건
페스타마레 건대점,이탈리안,2.5,서울 광진구 동일로20길 114 2층,매일 11:30 ~ 22:00,02-497-9982,507,20건
시옌 건대점,중화요리,4.4,서울 광진구 능동로 137-8,매일 10:00 ~ 22:00,02-498-2280,53,11건
당산오돌 구의역점,육류/고기,4.0,서울 광진구 자양로18길 12,영업시간 월~금 14:00 ~ 01:00,02-456-9898,448,13건
정통집 건대점,육류/고기,3.1,서울 광진구 동일로24길 95 1층,영업시간 매일 15:00 ~ 22:00,02-469-6432,252,17건
김부삼 건대점,삼겹살,2.9,서울 광진구 아차산로33길 40-1 1/ 2층,영업시간 매일 15:00 ~ 03:00,02-461-0804,53,18건
팔월잔칫날 광장본점,육류/고기,4.0,서울 광진구 아차산로76길 5 1층,영업시간 매일 17:00 ~ 01:00,02-454-0908,16,6건
경성양육관 건대직영점,양꼬치,4.0,서울 광진구 동일로18길 52,,02-467-6880,23,4건
장원닭한마리,닭요리,4.6,서울 광진구 천호대로111길 46 1층,,,36,27건
코후쿠,일본식주점,4.2,서울 광진구 아차산로29길 24 2층,매일 11:00 ~ 21:00,010-9679-3840,68,5건
청와옥 군자역직영점,순대,3.6,서울 광진구 천호대로 562 1층,매일 00:00 ~ 24:00,02-446-1922,63,21건
쭈꾸미킹,해물/생선,2.4,서울 광진구 능동로13길 39 한아름쇼핑센타 1층,매일 11:00 ~ 23:00,02-462-7191,111,15건
메이빌 건대점,이탈리안,4.1,서울 광진구 아차산로29길 7,매일 11:30 ~ 23:00,02-469-4267,74,24건
스타벅스 군자역,커피전문점,3.1,서울 광진구 천호대로 548,월~토 07:00 ~ 21:00,1522-3232,34,21건
육일관 본점,육류/고기,3.3,서울 광진구 아차산로31길 10,영업시간 매일 15:00 ~ 01:00,02-464-6868,54,14건
라멘다이야,일본식라면,4.7,서울 광진구 자양번영로6길 67,화요일,,44,29건
키랩보드게임 룸카페 건대본점,보드카페,4.3,서울 광진구 아차산로33길 49 지층 키랩 보드게임 룸카페 건대본점,영업시간 월~목 13:00 ~ 24:00,070-8098-7300,424,13건
요비,일본식주점,4.1,서울 광진구 아차산로29길 34,영업시간 매일 18:00 ~ 02:00,010-9702-0923,78,9건
리춘시장 건대점,호프/요리주점,3.8,서울 광진구 아차산로33길 44,영업시간 매일 18:00 ~ 02:00,02-498-0410,86,23건
복만루,중화요리,3.0,서울 광진구 아차산로 352 1층,매일 00:00 ~ 24:00,02-456-1778,22,10건
스타벅스 구의DT,커피전문점,4.6,서울 광진구 광나루로 519,매일 07:00 ~ 23:00,1522-3232,13,21건
황소곱창 건대본점,곱창/막창,2.3,서울 광진구 아차산로29길 16,영업시간 매일 17:00 ~ 02:00,02-467-2270,93,10건
산골닭갈비,닭요리,3.3,서울 광진구 구의강변로7길 5,매일 11:00 ~ 23:00,02-444-7985,30,16건
설빙 건대직영2호점,디저트카페,2.7,서울 광진구 아차산로 230 1층,매일 10:00 ~ 22:30,02-499-5385,71,23건
훈춘양꼬치,양꼬치,4.7,서울 광진구 아차산로34길 38,매일 11:00 ~ 01:30,02-464-6808,33,27건
카페호이 자양점,커피전문점,3.9,서울 광진구 동일로20길 80 1/2층,매일 10:00 ~ 24:00,02-466-8158,40,15건
