식당이름,구분,평점,주소,영업시간,전화번호,리뷰수,별점건수
문정곱창,곱창/막창,4.7,서울 금천구 디지털로12길 37 1층,영업시간 매일 15:00 ~ 02:00,02-6014-7290,93,23건
탐나종합어시장 가산점,회,4.0,서울 금천구 가산로 156 1층,,02-835-7255,30,9건
우리집 순대국,순대,3.2,서울 금천구 금하로 650,매일 00:00 ~ 24:00,02-802-6179,20,10건
춘천옥,족발/보쌈,2.5,서울 금천구 디지털로12길 19,매일 11:30 ~ 22:00,02-868-9937,52,28건
스시쥬베이,일식,4.5,서울 금천구 가산로 147,매일 11:30 ~ 23:00,02-851-2477,53,17건
동대문털보네,육류/고기,4.7,서울 금천구 디지털로9길 99,영업시간 월~토 16:00 ~ 23:30,02-2649-0449,82,13건
인크커피 가산플래그쉽스토어,디저트카페,4.8,서울 금천구 가산디지털2로 127-20,월~금 08:00 ~ 21:00,,84,13건
아웃백스테이크하우스 가산점,패밀리레스토랑,3.3,서울 금천구 디지털로10길 9 현대시티아울렛 가산점 7층,매일 11:00 ~ 22:00,02-2136-9971,144,14건
스미다,카페,4.1,서울 금천구 벚꽃로 298 대륭포스트6차 b143호,월~토 11:30 ~ 23:30,070-4633-2525,45,18건
진영면옥,냉면,4.5,서울 금천구 가산로 22-5,월~토 11:00 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-864-2383,63,40건
북촌삼대갈비 가산본점,갈비,4.0,서울 금천구 가산로 149 1층,매일 11:30 ~ 23:00,02-830-0003,57,20건
황제짬뽕양꼬치,중화요리,4.2,서울 금천구 디지털로9길 32 B동 1층 107호,매일 11:00 ~ 23:00,02-2106-8530,44,13건
떡볶이랑걸레만두랑,떡볶이,2.0,서울 금천구 시흥대로58길 13,화~일 11:00 ~ 22:00,02-804-8519,60,42건
만두라,한식,3.8,서울 금천구 시흥대로 97 BB53호,월~금 11:00 ~ 20:00,02-809-8338,41,25건
동남집 2호점,육류/고기,3.3,서울 금천구 가산디지털1로 149,매일 11:00 ~ 22:00,02-830-8834,18,12건
우마왕,육류/고기,4.9,서울 금천구 범안로17길 9 한아마인드아파트 1층,,0507-1303-3911,33,8건
맥도날드 서울시흥DT점,패스트푸드,3.2,서울 금천구 시흥대로 184,매일 00:00 ~ 24:00,070-7209-0520,17,17건
지리산 삼계탕,삼계탕,4.6,서울 금천구 가산로 88,매일 11:00 ~ 02:00,02-869-2009,68,5건
이화룡불짬뽕,중화요리,4.2,서울 금천구 시흥대로122길 15 1층,월~토 11:00 ~ 23:00,02-864-0025,40,30건
니하우,양꼬치,4.4,서울 금천구 벚꽃로38길 32-43,영업시간 월~토 14:30 ~ 24:00,02-858-4033,173,20건
우시장3호집,육류/고기,2.7,서울 금천구 시흥대로 364 1층,,02-808-0756,13,3건
말뚝곱창 5호점,곱창/막창,2.8,서울 금천구 벚꽃로38길 21 2층,월~금 12:00 ~ 24:00,02-6249-4047,185,13건
여신족발,족발/보쌈,3.8,서울 금천구 벚꽃로38길 21,영업시간 월~토 16:00 ~ 23:00,02-865-9244,43,25건
슈케익하우스,음식점,4.0,서울 금천구 시흥대로63길 3,,,2,3건
딥,호프/요리주점,5.0,서울 금천구 범안로 1249 1층,영업시간 월~토 18:00 ~ 02:00,,40,6건
풍년갈비,갈비,3.0,서울 금천구 디지털로12길 33,매일 11:00 ~ 23:00,02-867-6515,26,4건
왕래성,중화요리,4.8,서울 금천구 가산로 8,,02-6404-5557,9,5건
스튜디오레이크,와인바,5.0,서울 금천구 디지털로 210 지하1층,영업시간 월~토 17:00 ~ 01:00,0507-1308-9864,41,6건
인생양대창,곱창/막창,5.0,서울 금천구 시흥대로52길 42 1층,영업시간 매일 17:00 ~ 01:00,02-895-7778,60,3건
스타벅스 금천독산점,커피전문점,4.8,서울 금천구 두산로 70 남서울현대지식산업센터 T로비층 108호,월~금 07:00 ~ 21:30,1522-3232,18,17건
우리소양평해장국 본점,해장국,3.8,서울 금천구 범안로 1244,매일 00:00 ~ 24:00,02-893-5559,8,9건
삼대족발 금천점,족발/보쌈,3.3,서울 금천구 시흥대로 196,매일 12:00 ~ 24:00,02-808-7255,42,10건
흥부전놀부전,한정식,3.4,서울 금천구 남부순환로108길 28,영업시간 매일 17:00 ~ 24:00,02-853-9926,51,5건
본가집가마솥설렁탕 금천구청본점,설렁탕,2.4,서울 금천구 시흥대로 269 1층,매일 10:00 ~ 22:00,02-804-1175,41,9건
빅터스버거 VICTOR'S BURGER,양식,4.2,서울 금천구 시흥대로 291 상가 1층 126호 (아파트 중앙광장쪽),화~일 11:00 ~ 21:30,02-803-5668,42,13건
애슐리퀸즈 가산재능점(휴업중),패밀리레스토랑,2.1,서울 금천구 가산디지털1로 186 제이플라츠 2층,월~금 11:00 ~ 22:00,,95,30건
스시히또 가산점,초밥/롤,3.4,서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 114호,월~금 11:30 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-6953-0105,9,18건
동남집,갈비,4.6,서울 금천구 디지털로9길 99 스타밸리 1층 105/106호,월~금 00:00 ~ 24:00,02-2027-0010,11,5건
휴스시,초밥/롤,4.4,서울 금천구 디지털로9길 46 이앤씨드림타워7차 1층 108호,월~토 11:30 ~ 22:00,02-860-5566,38,7건
도넛인사이드도넛,도넛,4.8,서울 금천구 시흥대로141길 81 1층,월/화/수/목요일,02-838-3951,59,4건
옛날닭꼬치사골부대찌개,한식,3.5,서울 금천구 벚꽃로 212,,02-858-1966,25,4건
버거킹 가산디지털점,패스트푸드,2.7,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동,매일 09:00 ~ 22:00,02-853-0332,5,11건
실비 순대국,순대,5.0,서울 금천구 범안로 1207,,02-804-8856,7,4건
복숭아꽃살구꽃,호프/요리주점,3.9,서울 금천구 벚꽃로38길 32-53,영업시간 매일 17:00 ~ 02:00,02-858-7166,44,7건
로,육류/고기,3.5,서울 금천구 디지털로9길 47 한신IT타워 2차 1층 103호,월~금 14:00 ~ 17:00,02-2025-3224,49,15건
논빼미돼지볶음,불고기/두루치기,3.9,서울 금천구 시흥대로 185,매일 10:00 ~ 22:00,02-895-6101,25,9건
스시초이,초밥/롤,3.0,서울 금천구 가산디지털1로 171 SK V1센터 2층,매일 11:30 ~ 22:00 · 브레이크타임 매일 14:30 ~ 17:30,02-861-5519,46,6건
탐나종합어시장 시흥사거리점,회,1.6,서울 금천구 금하로 636,매일 12:00 ~ 03:00,02-895-7722,33,8건
노브랜드버거 가산디지털단지점,패스트푸드,3.1,서울 금천구 벚꽃로 286 삼성리더스타워 1층 109호,매일 10:00 ~ 22:00,02-837-0160,78,14건
동산미,육류/고기,2.3,서울 금천구 가산디지털2로 138-1,월~금 11:30 ~ 22:30,02-862-1944,92,3건
암소한마리 본점,육류/고기,2.0,서울 금천구 시흥대로 371,매일 10:30 ~ 24:00,02-804-0068,15,2건
스타벅스 금천시흥점,커피전문점,4.6,서울 금천구 시흥대로 164,월~토 08:00 ~ 21:30,1522-3232,5,9건
서대문김치찜 서울직영점,육류/고기,4.1,서울 금천구 두산로 70,월~토 11:00 ~ 23:00,02-853-0118,19,8건
스타벅스 가산디지털점,커피전문점,4.3,서울 금천구 가산디지털1로 168 우림라이온스벨리 B동 1층,월~금 07:00 ~ 21:00,1522-3232,21,4건
마벨리에 시흥점,뷔페,1.0,서울 금천구 시흥대로 201 홈플러스 7층,,1899-9991,38,1건
오와스시 금천점,초밥/롤,0.0,서울 금천구 시흥대로 152,,02-807-5116,9,0건
파티엘하우스,뷔페,0.0,서울 금천구 디지털로 173 엘리시아 빌딩 3층,,02-865-1141,22,0건
맥도날드 가산비지니스센터점,패스트푸드,1.9,서울 금천구 가산디지털1로 165 1층,월~금 07:00 ~ 22:00,070-7017-4433,11,14건
오복닭한마리&칼국수 가산점,닭요리,3.0,서울 금천구 가산로 142,,02-858-9291,29,4건
스타벅스 독산사거리점,커피전문점,3.8,서울 금천구 시흥대로 426,월~금 08:00 ~ 21:00,1522-3232,8,9건
총각네부추곱창 독산동본점,곱창/막창,1.3,서울 금천구 독산로75길 40,영업시간 월/화/수/목/일 16:00 ~ 02:00,02-830-3137,44,3건
써브웨이 가산디지털단지점,샌드위치,3.0,서울 금천구 가산디지털1로 165 가산비지니스센터 102호,매일 08:00 ~ 23:00,02-1544-1852,24,22건
텐마루 가산점,일본식주점,4.8,서울 금천구 디지털로12길 21 2층,영업시간 월~토 18:00 ~ 03:00,02-857-0199,17,55건
상아탑분식,분식,3.7,서울 금천구 금하로29길 3,월~금 10:00 ~ 20:30,02-804-1517,18,13건
이로이로,카페,3.6,서울 금천구 범안로 1130,월~토 09:00 ~ 22:00,070-4015-2525,24,9건
만다린,중화요리,3.5,서울 금천구 가산디지털1로 186 제이플라츠 지하 1층,매일 11:00 ~ 22:30,02-2028-5556,13,11건
스타벅스 금천구청역점,커피전문점,3.5,서울 금천구 시흥대로73길 67 엠타워 112~115호,월~금 07:00 ~ 21:30,1522-3232,14,8건
하나스시,초밥/롤,3.8,서울 금천구 디지털로9길 68 대륭포스트타워5차 119호,매일 11:00 ~ 22:00,02-2624-3377,18,17건
금천가든,육류/고기,4.6,서울 금천구 시흥대로124길 6,매일 11:00 ~ 23:00,02-837-7300,15,14건
종로계림닭도리탕 가산점,닭요리,3.7,서울 금천구 가산디지털1로 142 가산 더스카이밸리 1차 2층 228/229호,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 16:30,02-2067-0093,97,9건
명륜진사갈비 서울독산점,갈비,2.7,서울 금천구 시흥대로 447,매일 12:00 ~ 23:00,02-854-0031,33,16건
스타벅스 가산디지털단지역점,커피전문점,3.9,서울 금천구 벚꽃로 298,월~금 07:00 ~ 20:00,1522-3232,16,8건
신미경정통춘천닭갈비 독산직영점,닭요리,4.7,서울 금천구 독산로50길 11,매일 11:00 ~ 23:00,02-896-5222,68,3건
로운샤브샤브 롯데마트금천점,샤브샤브,2.6,서울 금천구 시흥대로 291 지하1층,매일 11:30 ~ 20:30 · 브레이크타임 월~금 15:00 ~ 18:00,,35,9건
맥도날드 가산디지털점,패스트푸드,2.8,서울 금천구 벚꽃로 298 대륭포스트6차 1층,매일 08:00 ~ 24:00,070-7017-2448,14,22건
다도해수산,회,4.8,서울 금천구 남부순환로108길 27 1층 102호,,02-865-5185,9,5건
이유 본점,이탈리안,4.0,서울 금천구 가산디지털1로 83 파트너스타워 1층,월~금 11:00 ~ 23:00,02-830-3381,25,3건
남문만두칼국수,국수,4.6,서울 금천구 시흥대로 434,월~토 10:00 ~ 19:00,02-856-9987,9,7건
온초점,카페,4.8,서울 금천구 남부순환로124길 17,화~일 11:00 ~ 21:00,,28,12건
제주목장,육류/고기,3.5,서울 금천구 가산로 85,월~토 14:00 ~ 22:00,02-837-3037,5,4건
태양부양꼬치,양꼬치,5.0,서울 금천구 은행나무로 51 2층,매일 12:00 ~ 01:00,02-808-8368,79,4건
예원 가산점,중화요리,2.7,서울 금천구 가산디지털1로 145 에이스하이엔드타워3차 203호,월~토 11:30 ~ 21:30 · 브레이크타임 월~토 14:30 ~ 17:30,02-2624-0777,8,3건
초가집부뚜막청국장 독산점,한식,4.8,서울 금천구 독산로 242,매일 09:00 ~ 22:00,02-839-7828,5,4건
망향비빔국수 금천직영점,국수,3.1,서울 금천구 가산디지털1로 186 제이플라츠 108호,월~토 09:30 ~ 21:00 · 브레이크타임 월~금 16:00 ~ 17:00,02-866-3575,29,9건
섬마을,게/대게,5.0,서울 금천구 독산로 324 1층,,02-839-7959,5,2건
탐나종합어시장 독산2동점,회,5.0,서울 금천구 독산로 195 1층,매일 12:00 ~ 03:00,02-893-0284,17,3건
어부네생선구이 굴밥,해물/생선,3.5,서울 금천구 시흥대로50길 12-6 1층,매일 10:00 ~ 22:00,02-808-4567,11,4건
분짜하노이 금천롯데캐슬점,베트남음식,4.5,서울 금천구 시흥대로 291 금천롯데캐슬골드파크3차 310동 2층 217호,매일 11:00 ~ 22:00,02-805-4102,48,6건
고구려짬뽕10101 서울금천점,중화요리,4.1,서울 금천구 시흥대로52길 7,매일 11:00 ~ 21:00,02-892-2880,8,9건
만세정육식당,육류/고기,2.4,서울 금천구 벚꽃로46길 1,매일 11:00 ~ 24:00,02-851-1117,49,5건
써브웨이 독산점,샌드위치,2.8,서울 금천구 시흥대로 399 1층 112호,매일 08:00 ~ 22:00,02-803-2346,8,13건
KFC 독산동점,패스트푸드,3.9,서울 금천구 독산로 197,매일 10:30 ~ 23:00,02-802-6232,1,7건
팔람까오,동남아음식,4.4,서울 금천구 서부샛길 606 2층,월~금 11:00 ~ 21:00 · 브레이크타임 월~금 15:00 ~ 17:00,,28,18건
야시장,실내포장마차,2.7,서울 금천구 벚꽃로 309,,02-862-8967,25,3건
키주파크 독산점,키즈카페,5.0,서울 금천구 벚꽃로6길 21 5층/6층,매일 10:30 ~ 20:00,02-804-2145,7,2건
종가대박집 금천점,육류/고기,5.0,서울 금천구 시흥대로 155,,02-809-9877,16,2건
삼은식당,육류/고기,4.7,서울 금천구 범안로21길 17 2층,,02-807-1587,10,3건
냥카페묘연,고양이카페,5.0,서울 금천구 시흥대로 149 2층 201호,매일 11:00 ~ 20:00,070-4048-0948,9,1건
모나드커피로스터스,커피전문점,4.1,서울 금천구 금하로24길 5 1층,매일 09:00 ~ 21:00,010-7516-0892,14,19건
송주불냉면 독산본점,냉면,4.0,서울 금천구 시흥대로138길 29,매일 11:00 ~ 20:30,02-863-1670,16,6건
순풍훠궈,중식,3.7,서울 금천구 독산동 1012-16,매일 10:30 ~ 03:00,02-858-5959,84,3건
강가네돌솥밥추어탕,추어,3.8,서울 금천구 남부순환로 1420,,02-867-8887,14,4건
디저트39 금천시흥점,디저트카페,2.5,서울 금천구 독산로 131-1,매일 09:30 ~ 23:00,02-892-3839,10,6건
장수삼계탕,삼계탕,0.0,서울 금천구 가산로 53,,02-866-9375,9,0건
작은주방,호프/요리주점,4.6,서울 금천구 시흥대로63길 3 2층,영업시간 화~목 18:00 ~ 01:00,070-7730-1078,29,8건
한국수 독산역점,국수,5.0,서울 금천구 가산디지털1로 5,월~금 10:00 ~ 22:00,02-2225-8466,64,3건
짚신매운갈비찜 시흥사거리점,한식,3.4,서울 금천구 시흥대로56길 9 1층,매일 11:30 ~ 00:00,02-805-2248,24,5건
원조부안집 독산7호점,육류/고기,0.0,서울 금천구 독산로75길 9,영업시간 월~금 16:00 ~ 02:00,,92,0건
무시칸 본관,갈비,3.0,서울 금천구 벚꽃로56길 102,,,25,2건
이화순대국,순대,4.1,서울 금천구 시흥대로 237-12,매일 10:00 ~ 21:00,,18,13건
조개가득 가산본점,조개,3.3,서울 금천구 가산디지털2로 142-21,매일 10:00 ~ 23:00,02-869-5939,20,7건
KFC 가산디지털점,패스트푸드,2.7,서울 금천구 가산디지털1로 186 제이플라츠 1층 110-1호,매일 10:30 ~ 22:00,02-861-4503,8,9건
바지락손칼국수,국수,5.0,서울 금천구 독산로65길 27,월~토 10:30 ~ 20:00,02-809-3491,25,2건
자작나무카페,카페,4.0,서울 금천구 가산로 61 1층,매일 10:00 ~ 23:00,,9,3건
탁초밥,초밥/롤,4.2,서울 금천구 독산로74길 16,매일 10:00 ~ 23:00,02-867-4186,13,11건
유니콘베이크샵,제과/베이커리,4.7,서울 금천구 시흥대로 268 상아빌딩 A동 103호,화~토 11:00 ~ 19:30,,19,16건
스시옥 본점,초밥/롤,1.6,서울 금천구 시흥대로 399 씨티렉스 1층 108호,매일 11:30 ~ 23:30 · 브레이크타임 월~금 15:30 ~ 17:00,02-806-7877,15,14건
실크로드중화요리,중화요리,3.2,서울 금천구 가산로 147-5,,02-856-3949,10,16건
가산어시장 본점,해물/생선,3.5,서울 금천구 벚꽃로 314 1/ 2층,,02-865-3332,23,8건
칭티엔,중화요리,4.7,서울 금천구 디지털로9길 46 드림타워7차 2층,월~토 11:00 ~ 22:30,02-869-3456,14,11건
BBQ 가산디지털단지점,치킨,2.2,서울 금천구 디지털로 210 1층,매일 11:00 ~ 22:00,02-851-9282,6,17건
해피치애견카페,애견카페,3.4,서울 금천구 시흥대로 351 류성빌딩 지하 101호,매일 12:00 ~ 22:00,02-6487-0373,95,5건
서울집 독산점,한식,3.3,서울 금천구 시흥대로122길 24,,02-865-0300,20,3건
카페구움,디저트카페,3.4,서울 금천구 시흥대로 315 금천마르쉐도르 2층 212호,화~일 09:00 ~ 19:00,010-6805-9281,32,10건
청와삼대 가산점,족발/보쌈,4.1,서울 금천구 벚꽃로56길 190,매일 11:30 ~ 22:00,02-853-7111,6,10건
햇빛촌순대국,순대,3.9,서울 금천구 벚꽃로38길 32-39,월~금 10:00 ~ 22:00,02-865-3315,18,8건
버거킹 가산이앤씨7점,패스트푸드,2.4,서울 금천구 디지털로9길 46 이앤씨드림타워7차 101호,매일 08:00 ~ 22:00,070-7438-8601,7,10건
말뚝곱창 6호점,곱창/막창,3.1,서울 금천구 벚꽃로 316 씨엔에스타워 1층 103호,영업시간 월~금 15:00 ~ 01:00,,40,11건
협동 포장마차,실내포장마차,4.0,서울 금천구 범안로 1215,,02-891-9414,4,1건
투썸플레이스 가산디지털점,커피전문점,2.4,서울 금천구 가산디지털1로 186 제이플라츠 1층 106/106-1호,월~금 07:00 ~ 23:30,02-866-9308,15,7건
돌솥밥남원추어탕,추어,5.0,서울 금천구 금하로 642,매일 09:00 ~ 22:00,02-896-4637,5,3건
화로구이,육류/고기,2.5,서울 금천구 범안로 1200,매일 00:00 ~ 24:00,02-894-8592,3,6건
통영해물가 가산2호점,해물/생선,4.0,서울 금천구 벚꽃로46길 1-5,매일 11:00 ~ 23:00,02-852-8378,19,9건
어물전 금천독산점,해물/생선,3.5,서울 금천구 시흥대로152길 11-43 삼부르네상스 1층,,,7,2건
스타벅스 가산에스케이점,커피전문점,3.7,서울 금천구 가산디지털1로 171,월~금 07:00 ~ 21:00,1522-3232,15,6건
미분당 가산점,베트남음식,4.2,서울 금천구 디지털로10길 69,매일 11:00 ~ 21:00 · 브레이크타임 매일 15:00 ~ 17:00,070-7707-7585,11,10건
명가교동짬뽕 가산디지털점,중화요리,3.8,서울 금천구 디지털로9길 46 이앤씨드림타워7차 지상1층,,,9,8건
투썸플레이스 금천롯데캐슬골드파크점,커피전문점,3.0,서울 금천구 벚꽃로 40 근린상가 113동 101호,월~금 09:00 ~ 22:00,02-802-1222,8,2건
곱창나라,곱창/막창,4.5,서울 금천구 가산로 144,,,11,8건
502커피로스터스,커피전문점,4.5,서울 금천구 가산디지털1로 159-20 흥영물산 1층,월~금 10:00 ~ 19:00,070-4128-4289,3,2건
스타벅스 가산그레이트점,커피전문점,3.3,서울 금천구 디지털로9길 32 갑을 그레이트 밸리 1층,월~금 07:00 ~ 19:00,1522-3232,8,10건
고기원칙 금천점,육류/고기,3.7,서울 금천구 시흥대로 291 롯데캐슬 3차 1층,영업시간 월~금 16:00 ~ 24:00,02-808-8656,17,6건
커피베이 가산직영점,커피전문점,4.0,서울 금천구 벚꽃로 254 월드메르디앙벤처센터1차 1층,월~금 07:30 ~ 21:00,02-859-1157,20,3건
쭈꾸미시스터즈 롯데가산점,해물/생선,4.2,서울 금천구 벚꽃로 278 SJ테크노빌 3층,월~금 11:00 ~ 21:30,02-2623-2312,12,12건
말뚝곱창 독산8호점,곱창/막창,3.8,서울 금천구 독산로 341 1층,영업시간 매일 18:00 ~ 02:00,070-4242-2803,23,5건
부자아줌마 가산본점,족발/보쌈,4.0,서울 금천구 가산디지털1로 83,매일 11:00 ~ 23:00,02-839-3381,13,2건
돈유창,곱창/막창,4.9,서울 금천구 독산로 188 1층,매일 14:00 ~ 02:00,02-802-0233,13,8건
트리니티블랙,커피전문점,3.0,서울 금천구 가산디지털2로 108 뉴T캐슬 1층 104호,월~금 07:30 ~ 17:00,02-2626-8989,10,8건
양지식당,삼겹살,3.8,서울 금천구 시흥대로50길 10 1층,매일 14:00 ~ 24:00,,20,4건
김상현참치,참치회,4.0,서울 금천구 시흥대로 231 3층,영업시간 월~토 16:00 ~ 02:00,02-891-9200,7,4건
아라참치,참치회,4.5,서울 금천구 가산디지털1로 186 제이플라츠 B126호,월~토 11:00 ~ 22:00,02-2028-5551,11,2건
미가양꼬치,양꼬치,4.1,서울 금천구 벚꽃로42길 5,월~금 13:00 ~ 01:00,02-837-3003,35,9건
춘천대나무닭갈비,갈비,2.0,서울 금천구 가산로 53,매일 12:00 ~ 24:00,02-862-0825,14,2건
삼숙이갈비 가산디지털본점,갈비,3.0,서울 금천구 벚꽃로 308,매일 11:00 ~ 05:00,02-864-8588,27,3건
종로곱창,곱창/막창,2.5,서울 금천구 시흥대로70길 33,,,11,6건
마피아피자,피자,3.5,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동,월~금 14:00 ~ 17:30,02-2026-0026,42,8건
맘스터치 가산센트럴점,패스트푸드,1.0,서울 금천구 디지털로10길 69 G05호,매일 10:00 ~ 22:00,02-855-7776,4,3건
허가네연탄불고기 금천점,불고기/두루치기,3.0,서울 금천구 시흥대로63길 33 대하빌딩 1층,매일 10:00 ~ 22:30,02-805-0100,33,1건
맛쟁이해물아구찜,아구,4.7,서울 금천구 금하로 642 2층,,02-891-7732,1,3건
교촌치킨 가산디지털점,치킨,1.8,서울 금천구 가산디지털1로 165 가산비지니스센터 2층,매일 12:00 ~ 24:00,02-865-0865,17,16건
천지회관,육류/고기,4.0,서울 금천구 가산디지털1로 24,월~금 11:00 ~ 22:00 · 브레이크타임 월~금 15:00 ~ 17:00,02-867-1007,18,3건
황금맛족발,족발/보쌈,5.0,서울 금천구 독산로75길 27 1층,영업시간 매일 15:00 ~ 05:00,02-868-2328,28,1건
투썸플레이스 독산사거리점,커피전문점,2.5,서울 금천구 시흥대로 422,월~금 09:30 ~ 23:00,02-858-2329,5,10건
스타벅스 가산브이타워점,커피전문점,5.0,서울 금천구 가산디지털1로 128,월~금 07:00 ~ 18:00,1522-3232,6,1건
브래드팩토리망캄,제과/베이커리,3.5,서울 금천구 시흥대로 371,매일 09:00 ~ 22:00,02-808-9786,14,11건
도원 중식당,중화요리,4.5,서울 금천구 범안로 1130,,,0,2건
디오델커피,커피전문점,4.0,서울 금천구 벚꽃로 30 금천롯데캐슬골드파크2차 상가 205동 120호,월~금 10:30 ~ 21:00,02-6082-2121,13,4건
청보리한우,육류/고기,1.0,서울 금천구 가산로 49,,02-861-6684,2,2건
정수장,중화요리,4.0,서울 금천구 범안로17길 15,매일 10:00 ~ 20:50,02-805-2725,4,8건
까페로드,카페,4.3,서울 금천구 범안로 1152,월~금 09:00 ~ 24:00,,7,8건
은행나무갈매기,육류/고기,2.3,서울 금천구 금하로 678,매일 12:00 ~ 23:00,02-894-8999,16,4건
카페어거스트준,커피전문점,3.5,서울 금천구 벚꽃로 30 롯데캐슬골드파크2차 상가 2층 204호,월~금 10:00 ~ 20:00,02-6014-8686,25,8건
소명생고기,육류/고기,3.2,서울 금천구 시흥대로 264,매일 08:00 ~ 24:00,02-893-3233,7,5건
샐러데이즈 금천구청역점,양식,4.8,서울 금천구 시흥대로63길 56 1층,매일 08:00 ~ 21:00,070-4121-5271,19,9건
스시천,초밥/롤,3.4,서울 금천구 벚꽃로 298 대륭포스트타워 6차 1층 115호,매일 10:00 ~ 22:00,02-868-5188,36,7건
투썸플레이스 시흥사거리점,커피전문점,1.9,서울 금천구 시흥대로 228 1층,매일 09:00 ~ 23:30,02-893-2388,5,8건
명륜진사갈비 석수역점,갈비,2.1,서울 금천구 시흥대로 10 1층,매일 12:00 ~ 23:00,02-807-8253,28,7건
동남집,한식,2.8,서울 금천구 가산디지털1로 219 벽산디지털밸리6차 1층,월~토 11:00 ~ 22:00 · 브레이크타임 월~토 15:30 ~ 16:30,02-2627-3999,11,4건
설빙 시흥사거리점,디저트카페,5.0,서울 금천구 시흥대로 229 2층,매일 11:30 ~ 23:00,02-891-7355,17,1건
오이시이 돈까스우동모밀전문점,돈까스/우동,3.7,서울 금천구 가산로5길 77,월~토 10:30 ~ 21:00 · 브레이크타임 월~토 15:00 ~ 17:00,02-830-2151,12,17건
탐나종합어시장 금천구청역점,회,5.0,서울 금천구 시흥대로73길 67 1층 118/ 119호,화~일 11:30 ~ 00:00,02-803-8880,15,2건
차림,한정식,2.0,서울 금천구 가산디지털1로 131 BYC하이시티 C동 지하1층,,02-6947-4997,6,3건
강촌식당 독산점,닭요리,3.6,서울 금천구 두산로 70 현대지식산업센터 107호,매일 11:00 ~ 23:00,02-2169-2830,86,8건
우뺑,제과/베이커리,5.0,서울 금천구 벚꽃로56길 182 램킨푸르지오시티 104호,화~금 12:00 ~ 20:00,,21,6건
채선당 샤브샤브&한우구이 금천구청점,샤브샤브,2.4,서울 금천구 시흥대로 277,,02-856-5008,11,9건
도미노피자 시흥점,피자,2.7,서울 금천구 독산로 3,매일 11:00 ~ 22:00,02-806-3088,0,9건
명화곱창,곱창/막창,2.6,서울 금천구 벚꽃로38길 5,,02-854-0322,22,5건
신선설농탕 독산점,설렁탕,2.4,서울 금천구 시흥대로 405 1층,매일 00:00 ~ 24:00,02-851-1900,10,8건
우주라이크커피 가산디지털단지점,커피전문점,5.0,서울 금천구 가산로9길 12-8 지웰에스테이트2차 1층,월~금 10:00 ~ 21:00,02-6278-0077,7,2건
원조홍어회집,회,4.8,서울 금천구 금하로14길 2-3,,02-894-3631,1,5건
폴린,디저트카페,1.3,서울 금천구 시흥대로56길 8 세종팰리스 102동 104호,매일 12:00 ~ 23:00,,28,7건
돼지분식,수제비,4.9,서울 금천구 가산로9길 20 1층,,,17,7건
포차인닭갈비,닭요리,1.8,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동 지하 1층,,02-2026-0021,20,4건
누리한방삼계탕,삼계탕,4.6,서울 금천구 가산디지털1로 186 제이플라츠 지하 1층 B118-3호,,02-2028-5599,19,5건
